"AEO Audit Results","AEO Audit Results"
"AEO Audit — %1 — %2%%","AEO Audit — %1 — %2%%"
"AEO Score Trend","AEO Score Trend"
"AEO audit completed for %1 store(s).","AEO audit completed for %1 store(s)."
"Affect score (warn at threshold)","Affect score (warn at threshold)"
"All stores","All stores"
"Audit result not found.","Audit result not found."
"Check","Check"
"Ignore (report only)","Ignore (report only)"
"Last 30 days","Last 30 days"
"Last 7 days","Last 7 days"
"Last 90 days","Last 90 days"
"Last run: %1","Last run: %1"
"Last year","Last year"
"Loading chart data...","Loading chart data..."
"Loading...","Loading..."
"Message","Message"
"No audit history yet","No audit history yet"
"No audit result data.","No audit result data."
"Recommendation","Recommendation"
"Refresh","Refresh"
"Run Audit Again","Run Audit Again"
"Run Audit Now","Run Audit Now"
"Run First Audit","Run First Audit"
"Run your first AEO audit to start tracking your score over time.","Run your first AEO audit to start tracking your score over time."
"Score over time","Score over time"
"Status","Status"
"The audit could not be completed. Please check the system log for details.","The audit could not be completed. Please check the system log for details."
"Triggered by: %1","Triggered by: %1"
"Unable to load audit history.","Unable to load audit history."
"View","View"
"View all audit results →","View all audit results →"
"Weight","Weight"
"← Back to Results","← Back to Results"
"▶ Run Audit Now","▶ Run Audit Now"
"A2A Agent Card","A2A Agent Card"
"A2A Agent Card — /.well-known/agent-card.json","A2A Agent Card — /.well-known/agent-card.json"
